date,largecap,midcap,smallcap,liquid,gold,flexi
28-May-2013,18.87,18.088,9.626,1869.5758,9.349,9.9992
29-May-2013,18.84,18.097,9.5524,1869.9959,9.3981,10.008
30-May-2013,18.92,18.071,9.5647,1870.4276,9.5296,10.0327
31-May-2013,18.61,17.963,9.4463,1870.8473,9.6451,10.0154
03-Jun-2013,18.48,18.057,9.4957,1872.1083,9.6089,10.0572
04-Jun-2013,18.46,18.042,9.4876,1872.5282,9.5967,10.0339
05-Jun-2013,18.47,18.039,9.5036,1872.9476,9.5543,10.0273
06-Jun-2013,18.46,18.064,9.5915,1873.3658,9.6966,10.0328
07-Jun-2013,18.38,17.924,9.5145,1873.7855,9.8389,10.0235
10-Jun-2013,18.32,17.805,9.4822,1875.0387,9.7618,9.9957
11-Jun-2013,18.1,17.552,9.3178,1875.4579,9.7171,9.954
12-Jun-2013,18.06,17.536,9.2969,1875.8634,9.657,9.9288
13-Jun-2013,17.86,17.301,9.2386,1876.2709,9.6751,9.9118
14-Jun-2013,18.13,17.509,9.3041,1876.6759,9.6633,9.9549
17-Jun-2013,18.22,17.593,9.3571,1877.8975,9.8589,9.9818
18-Jun-2013,18.17,17.634,9.3929,1878.314,9.8164,9.9964
19-Jun-2013,18.23,17.676,9.3999,1878.74,9.8028,10.0085
20-Jun-2013,17.8,17.423,9.2721,1879.1526,9.587,9.9306
21-Jun-2013,17.81,17.343,9.2149,1879.5585,9.4952,9.9161
24-Jun-2013,17.5,17.043,9.073,1880.7979,9.4639,9.8034
25-Jun-2013,17.49,16.959,9.06,1881.2107,9.4494,9.7828
26-Jun-2013,17.43,16.925,9.0031,1881.6499,9.1587,9.7543
27-Jun-2013,17.67,16.927,9.0787,1882.0831,9.1788,9.7919
28-Jun-2013,18.07,17.223,9.1773,1882.5861,9.0262,9.8992
01-Jul-2013,18.19,17.452,9.2958,1883.8542,9.2367,9.9352
02-Jul-2013,18.08,17.422,9.2835,1884.31,9.387,9.9357
03-Jul-2013,17.81,17.171,9.165,1884.7782,9.3549,9.9149
04-Jul-2013,18.05,17.289,9.2197,1885.2431,9.3314,9.9544
